epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,499.832,0.92547,0.68559,1.19464,0.99367,0.98854,0.99177,0.84973,0.61974,0.34191,0.95676,0.0011387,0.0011387,0.0011387
89,506.005,0.94424,0.68772,1.21179,0.99324,0.98854,0.99166,0.84465,0.65185,0.34741,0.95055,0.0011288,0.0011288,0.0011288
90,512.268,0.95438,0.69758,1.21135,0.99357,0.98854,0.99136,0.83853,0.66254,0.34666,0.95374,0.0011189,0.0011189,0.0011189
91,518.517,0.93222,0.68786,1.20635,0.99368,0.98854,0.99341,0.85872,0.59404,0.32244,0.94315,0.001109,0.001109,0.001109
92,524.283,0.94798,0.68425,1.21735,0.99423,0.988,0.9931,0.82907,0.67863,0.34951,0.96052,0.0010991,0.0010991,0.0010991
93,529.878,0.95176,0.69112,1.20786,0.99333,0.98567,0.9912,0.84897,0.6231,0.34012,0.95156,0.0010892,0.0010892,0.0010892
94,535.43,0.91278,0.66175,1.18501,0.99159,0.98854,0.99031,0.83603,0.67014,0.34402,0.96546,0.0010793,0.0010793,0.0010793
95,540.995,0.93993,0.68343,1.20282,0.99423,0.98769,0.99198,0.85831,0.5923,0.33141,0.94646,0.0010694,0.0010694,0.0010694
96,546.566,0.92764,0.67136,1.19048,0.994,0.98854,0.99302,0.84765,0.63819,0.34696,0.94947,0.0010595,0.0010595,0.0010595
97,552.133,0.90517,0.66048,1.18692,0.99138,0.98837,0.99157,0.86372,0.59638,0.33817,0.9419,0.0010496,0.0010496,0.0010496
98,557.704,0.91705,0.66743,1.18909,0.99084,0.98854,0.99291,0.86841,0.55852,0.32261,0.92955,0.0010397,0.0010397,0.0010397
99,563.267,0.89338,0.6679,1.17925,0.98851,0.98281,0.9898,0.84362,0.63657,0.34532,0.94732,0.0010298,0.0010298,0.0010298
100,569.353,0.91147,0.67676,1.18911,0.99011,0.98854,0.98993,0.8611,0.6024,0.32586,0.94935,0.0010199,0.0010199,0.0010199
101,574.934,0.89761,0.66393,1.17159,0.99291,0.98854,0.9925,0.85692,0.60492,0.3329,0.93495,0.00101,0.00101,0.00101
102,580.504,0.90969,0.66872,1.18267,0.99372,0.98567,0.99299,0.88538,0.49607,0.31347,0.92296,0.0010001,0.0010001,0.0010001
103,586.106,0.9099,0.66067,1.18751,0.99376,0.98854,0.99375,0.89708,0.4844,0.29765,0.91521,0.0009902,0.0009902,0.0009902
104,591.678,0.91543,0.66629,1.18134,0.99412,0.98854,0.99281,0.88771,0.51559,0.30405,0.926,0.0009803,0.0009803,0.0009803
105,597.271,0.89211,0.65201,1.17402,0.99176,0.98567,0.99195,0.90202,0.45258,0.30337,0.92538,0.0009704,0.0009704,0.0009704
106,602.881,0.89467,0.64425,1.17363,0.99038,0.98854,0.99197,0.88244,0.52318,0.30463,0.9288,0.0009605,0.0009605,0.0009605
107,608.42,0.88404,0.6418,1.16656,0.99391,0.98854,0.99168,0.88342,0.51599,0.30719,0.92649,0.0009506,0.0009506,0.0009506
108,613.958,0.88636,0.65303,1.17511,0.99137,0.9914,0.99399,0.88285,0.55077,0.31151,0.92809,0.0009407,0.0009407,0.0009407
109,619.504,0.90556,0.65521,1.17569,0.99423,0.98826,0.99218,0.89647,0.49002,0.30762,0.92461,0.0009308,0.0009308,0.0009308
110,625.051,0.90816,0.65934,1.17729,0.99371,0.98854,0.99312,0.88136,0.53128,0.3111,0.92401,0.0009209,0.0009209,0.0009209
111,630.603,0.89866,0.65892,1.17562,0.99385,0.98854,0.9916,0.87497,0.5438,0.3111,0.92608,0.000911,0.000911,0.000911
112,636.14,0.88788,0.64399,1.16746,0.99382,0.98854,0.99375,0.84579,0.66994,0.33695,0.95816,0.0009011,0.0009011,0.0009011
113,641.686,0.86887,0.62659,1.16436,0.99297,0.98854,0.99262,0.84049,0.66741,0.33231,0.96764,0.0008912,0.0008912,0.0008912
114,647.22,0.8959,0.64773,1.17355,0.99399,0.98854,0.99317,0.86001,0.60422,0.31391,0.93889,0.0008813,0.0008813,0.0008813
115,652.753,0.86599,0.63713,1.16345,0.99383,0.98854,0.99332,0.8475,0.60794,0.30985,0.93827,0.0008714,0.0008714,0.0008714
116,658.3,0.85574,0.62075,1.15161,0.99373,0.98854,0.99365,0.85846,0.61654,0.32114,0.9377,0.0008615,0.0008615,0.0008615
117,663.848,0.87904,0.6389,1.17162,0.99376,0.98854,0.99332,0.84173,0.63493,0.32458,0.94833,0.0008516,0.0008516,0.0008516
118,669.381,0.87496,0.6272,1.15859,0.99591,0.98854,0.99329,0.83037,0.67481,0.34254,0.95172,0.0008417,0.0008417,0.0008417
119,674.918,0.84872,0.61938,1.14884,0.99516,0.98281,0.99373,0.87303,0.56873,0.31583,0.92868,0.0008318,0.0008318,0.0008318
120,680.454,0.86204,0.63044,1.15212,0.99711,0.98801,0.99337,0.88141,0.52992,0.30234,0.90954,0.0008219,0.0008219,0.0008219
121,685.977,0.87806,0.62731,1.15515,0.99344,0.98854,0.99291,0.88671,0.50218,0.29814,0.90784,0.000812,0.000812,0.000812
122,691.524,0.84909,0.612,1.15064,0.99319,0.98854,0.99348,0.89906,0.47336,0.29015,0.90527,0.0008021,0.0008021,0.0008021
123,697.047,0.85357,0.61644,1.15715,0.99083,0.98854,0.99319,0.88554,0.51132,0.29809,0.91674,0.0007922,0.0007922,0.0007922
124,702.581,0.85913,0.62764,1.16154,0.99399,0.98854,0.99201,0.85412,0.59514,0.30884,0.92502,0.0007823,0.0007823,0.0007823
