epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,307.002,0.57481,0.55486,0.00081,0.2887,0.97436,0.99668,0.99942,0.995,0.89034,0.63785,0.63994,0.53454,0.22311,0.53876,3.43669,0.00045,0.38282,0.92511,0.0014555,0.0014555,0.0014555
57,312.477,0.58562,0.54423,0.0007,0.29779,0.97878,0.99654,0.99333,0.99497,0.8896,0.58487,0.58333,0.45572,0.19241,0.54064,3.74182,0.00034,0.41706,0.92762,0.0014456,0.0014456,0.0014456
58,317.914,0.58711,0.58128,0.00086,0.29823,0.97152,0.98,0.98018,0.99291,0.85159,0.57295,0.59032,0.46736,0.175,0.64905,3.73255,0.00085,0.50048,0.98147,0.0014357,0.0014357,0.0014357
59,323.422,0.61189,0.56334,0.00088,0.30512,0.98283,0.99666,0.99365,0.99497,0.8734,0.60969,0.61,0.53894,0.22783,0.60784,3.59113,0.00067,0.36268,0.95079,0.0014258,0.0014258,0.0014258
60,328.981,0.57196,0.52226,0.00067,0.29614,0.9681,0.99954,0.99667,0.995,0.89799,0.72541,0.72333,0.68481,0.24787,0.51213,3.28896,0.00057,0.37779,0.91759,0.0014159,0.0014159,0.0014159
61,334.398,0.57663,0.49808,0.00075,0.29827,0.96818,1,0.98672,0.9949,0.8316,0.62036,0.60667,0.54566,0.20618,0.7149,3.6316,0.00044,0.42821,0.98598,0.001406,0.001406,0.001406
62,339.852,0.56189,0.50573,0.00073,0.29087,0.96432,0.99648,0.99667,0.995,0.84646,0.61305,0.61333,0.56496,0.25163,0.66866,3.65529,0.00075,0.36335,0.98259,0.0013961,0.0013961,0.0013961
63,345.283,0.55901,0.49931,0.0007,0.29032,0.96441,0.99595,0.99,0.9948,0.88546,0.61925,0.59634,0.56262,0.23163,0.5351,3.62983,0.00047,0.37369,0.91781,0.0013862,0.0013862,0.0013862
64,350.696,0.57529,0.49195,0.00072,0.29415,0.97557,1,0.98955,0.99497,0.87903,0.79118,0.78303,0.71792,0.26199,0.55339,3.11988,0.00041,0.34411,0.92762,0.0013763,0.0013763,0.0013763
65,356.147,0.60506,0.48276,0.00069,0.29975,0.97727,1,0.9995,0.995,0.88446,0.74657,0.74629,0.65157,0.25489,0.53506,3.07085,0.00057,0.32314,0.91003,0.0013664,0.0013664,0.0013664
66,361.549,0.5755,0.46085,0.00067,0.29101,0.97307,0.99667,0.99856,0.9944,0.88201,0.72328,0.72316,0.70063,0.2641,0.55743,3.30874,0.00041,0.34148,0.92402,0.0013565,0.0013565,0.0013565
67,366.97,0.54305,0.44916,0.0007,0.28208,0.9398,0.99496,0.99333,0.9949,0.8816,0.63076,0.63,0.52119,0.23467,0.56875,3.38938,0.00037,0.43906,0.92617,0.0013466,0.0013466,0.0013466
68,372.339,0.54318,0.43638,0.00059,0.28509,0.94921,0.99849,0.98,0.99483,0.90935,0.78262,0.75607,0.7088,0.29716,0.48988,2.92536,0.00032,0.45602,0.89624,0.0013367,0.0013367,0.0013367
69,377.769,0.54773,0.48281,0.00062,0.28271,0.95262,0.98673,0.99333,0.99483,0.88717,0.74375,0.73,0.66976,0.25977,0.51246,3.16517,0.00039,0.34277,0.90936,0.0013268,0.0013268,0.0013268
70,383.17,0.53796,0.44889,0.00063,0.27679,0.94916,0.99584,1,0.99497,0.91286,0.70197,0.68667,0.62083,0.26033,0.45654,3.29102,0.00058,0.31896,0.88185,0.0013169,0.0013169,0.0013169
71,388.567,0.54891,0.43593,0.00065,0.28474,0.95006,1,0.99612,0.995,0.89573,0.7623,0.75,0.67283,0.28368,0.51417,3.10929,0.00038,0.35693,0.90943,0.001307,0.001307,0.001307
72,394.005,0.54516,0.42596,0.00069,0.28207,0.9483,1,0.99974,0.995,0.91531,0.81996,0.81978,0.80881,0.33614,0.46625,3.01827,0.00039,0.32067,0.8807,0.0012971,0.0012971,0.0012971
73,399.669,0.54621,0.42572,0.00056,0.28177,0.96042,0.99523,1,0.995,0.88716,0.73646,0.73588,0.67998,0.27728,0.5131,3.10992,0.00045,0.31565,0.90773,0.0012872,0.0012872,0.0012872
74,405.065,0.51986,0.41185,0.00057,0.2701,0.93968,0.99227,0.99667,0.99487,0.84735,0.79616,0.79333,0.75831,0.31546,0.5976,2.70169,0.00058,0.37182,0.94209,0.0012773,0.0012773,0.0012773
75,410.479,0.53967,0.41449,0.00058,0.27845,0.94688,0.99959,1,0.995,0.89517,0.75095,0.75,0.72769,0.29989,0.53438,3.03197,0.00057,0.32643,0.91127,0.0012674,0.0012674,0.0012674
76,415.909,0.5217,0.40679,0.00069,0.27047,0.93605,1,0.99908,0.995,0.87584,0.78803,0.78333,0.7233,0.30866,0.55459,2.89745,0.00079,0.3437,0.91512,0.0012575,0.0012575,0.0012575
77,421.428,0.51946,0.38703,0.00065,0.27169,0.93773,1,0.99984,0.995,0.89511,0.79836,0.79333,0.75987,0.32959,0.50035,2.80935,0.00048,0.32627,0.90019,0.0012476,0.0012476,0.0012476
78,426.786,0.51073,0.36674,0.0006,0.26748,0.931,1,0.99651,0.995,0.89037,0.67766,0.67333,0.60843,0.24614,0.53746,3.42622,0.00098,0.3685,0.91513,0.0012377,0.0012377,0.0012377
79,432.28,0.52176,0.3772,0.00058,0.27118,0.93839,0.99979,1,0.995,0.88319,0.66797,0.66667,0.58902,0.23764,0.55836,3.35411,0.00084,0.33035,0.91618,0.0012278,0.0012278,0.0012278
80,437.656,0.50767,0.35626,0.00057,0.26507,0.9243,0.99995,0.99667,0.995,0.91894,0.73219,0.73,0.6793,0.27956,0.45793,3.1306,0.00066,0.32091,0.88147,0.0012179,0.0012179,0.0012179
81,443.083,0.52477,0.34166,0.00051,0.26944,0.93644,1,0.99944,0.995,0.88866,0.71651,0.71613,0.63371,0.27268,0.54885,3.20036,0.00119,0.34728,0.91477,0.001208,0.001208,0.001208
82,448.524,0.51209,0.34522,0.00051,0.26622,0.93223,0.99974,1,0.995,0.89875,0.72981,0.73,0.68226,0.32078,0.51229,2.92695,0.00073,0.33248,0.91406,0.0011981,0.0011981,0.0011981
83,453.889,0.49927,0.36564,0.0005,0.26174,0.92986,0.99977,1,0.995,0.86994,0.78648,0.78667,0.77686,0.35383,0.62297,2.74639,0.00064,0.3545,0.9443,0.0011882,0.0011882,0.0011882
84,459.259,0.49264,0.37278,0.00053,0.25606,0.9207,0.99982,1,0.995,0.89553,0.8331,0.82667,0.78326,0.40043,0.50644,2.49048,0.00074,0.34367,0.89905,0.0011783,0.0011783,0.0011783
85,464.864,0.49837,0.35643,0.00055,0.25799,0.91906,0.99975,1,0.995,0.90858,0.80728,0.81,0.76156,0.34328,0.47855,2.6553,0.001,0.32747,0.89015,0.0011684,0.0011684,0.0011684
86,470.168,0.49909,0.33446,0.00052,0.26326,0.92503,0.99961,1,0.995,0.8908,0.75301,0.74667,0.6562,0.2859,0.51234,2.84667,0.00062,0.32472,0.90487,0.0011585,0.0011585,0.0011585
87,475.589,0.49808,0.31959,0.00044,0.26081,0.92248,1,0.99978,0.995,0.89727,0.74807,0.74333,0.67093,0.32699,0.47656,2.7912,0.00079,0.3421,0.90362,0.0011486,0.0011486,0.0011486
88,480.941,0.51281,0.32987,0.00046,0.26198,0.93563,0.99978,0.99667,0.995,0.89218,0.80101,0.79667,0.73251,0.3454,0.51251,2.72459,0.0007,0.34308,0.89861,0.0011387,0.0011387,0.0011387
89,486.366,0.48576,0.30382,0.00045,0.2544,0.91528,0.99917,1,0.995,0.89743,0.77911,0.77598,0.73636,0.33241,0.52004,2.74732,0.00061,0.33259,0.90028,0.0011288,0.0011288,0.0011288
90,491.817,0.4916,0.32238,0.00057,0.25625,0.91454,0.99563,0.99667,0.995,0.92968,0.64622,0.64667,0.58426,0.24795,0.43862,3.24733,0.00069,0.3238,0.87038,0.0011189,0.0011189,0.0011189
91,497.263,0.50337,0.30348,0.0005,0.25862,0.92296,0.99869,0.99667,0.995,0.88193,0.67988,0.68,0.60716,0.26962,0.55481,3.06681,0.00076,0.34101,0.9112,0.001109,0.001109,0.001109
92,502.699,0.49342,0.30249,0.00052,0.26017,0.91147,0.99348,0.99333,0.99497,0.91643,0.71227,0.70964,0.65723,0.28839,0.45855,3.07707,0.0006,0.3443,0.87666,0.0010991,0.0010991,0.0010991
93,508.094,0.48643,0.2763,0.0005,0.25379,0.92345,1,0.99937,0.995,0.90473,0.78888,0.78667,0.78875,0.34944,0.47905,2.74869,0.0008,0.30687,0.87869,0.0010892,0.0010892,0.0010892
94,513.452,0.50629,0.27711,0.00047,0.25908,0.92005,1,0.99977,0.995,0.90658,0.80515,0.8,0.80923,0.36253,0.51231,2.74048,0.00066,0.31528,0.892,0.0010793,0.0010793,0.0010793
95,518.852,0.47736,0.28283,0.00043,0.25025,0.90965,1,0.99959,0.995,0.89153,0.8233,0.82314,0.82238,0.33884,0.52494,2.74439,0.00072,0.32658,0.89786,0.0010694,0.0010694,0.0010694
96,524.279,0.48156,0.27974,0.00047,0.25052,0.92138,1,0.99983,0.995,0.87765,0.85331,0.85321,0.84148,0.37046,0.58744,2.66761,0.0007,0.3235,0.91911,0.0010595,0.0010595,0.0010595
97,529.712,0.48856,0.28047,0.00047,0.25511,0.91371,0.99993,1,0.995,0.88716,0.86573,0.86333,0.84672,0.41637,0.54515,2.56981,0.00066,0.31877,0.90097,0.0010496,0.0010496,0.0010496
98,535.113,0.4701,0.25984,0.00044,0.24599,0.90788,0.9996,0.99667,0.995,0.9135,0.74885,0.74667,0.6932,0.34473,0.47227,2.7912,0.00047,0.30981,0.8797,0.0010397,0.0010397,0.0010397
99,540.608,0.47435,0.27217,0.0004,0.24675,0.90964,0.99966,1,0.995,0.90126,0.74307,0.74333,0.7108,0.33951,0.50613,2.8766,0.00036,0.29805,0.89054,0.0010298,0.0010298,0.0010298
100,545.987,0.4663,0.28722,0.0004,0.24394,0.89977,0.99992,1,0.995,0.92747,0.78988,0.79,0.79702,0.36733,0.42862,2.77273,0.00031,0.29096,0.86637,0.0010199,0.0010199,0.0010199
101,551.342,0.46151,0.24664,0.00039,0.24272,0.89675,0.99962,0.99667,0.995,0.9012,0.78884,0.78667,0.76175,0.36324,0.4963,2.64454,0.00034,0.31351,0.88379,0.00101,0.00101,0.00101
102,556.673,0.47988,0.2502,0.00038,0.24897,0.90941,0.99598,0.99667,0.99497,0.91707,0.80855,0.81,0.77769,0.34176,0.45734,2.66246,0.00043,0.33182,0.87794,0.0010001,0.0010001,0.0010001
103,562.086,0.46368,0.24629,0.00043,0.24594,0.90832,0.9942,1,0.99497,0.8923,0.80073,0.80667,0.76615,0.34715,0.52371,2.61951,0.00044,0.34591,0.89798,0.0009902,0.0009902,0.0009902
104,567.477,0.4651,0.2806,0.00045,0.2431,0.902,1,0.99947,0.995,0.90657,0.8099,0.80948,0.7896,0.3546,0.48607,2.77519,0.00029,0.33159,0.89208,0.0009803,0.0009803,0.0009803
105,572.971,0.45545,0.26633,0.00041,0.24002,0.89412,0.9998,1,0.995,0.91763,0.76314,0.76333,0.72814,0.29591,0.44023,3.04958,0.00058,0.29936,0.8734,0.0009704,0.0009704,0.0009704
106,578.4,0.45538,0.24858,0.00039,0.23998,0.89794,0.99999,1,0.995,0.92078,0.8032,0.80333,0.82219,0.31711,0.4629,3.02819,0.00061,0.33198,0.88558,0.0009605,0.0009605,0.0009605
107,583.792,0.45503,0.23234,0.00038,0.23472,0.89994,0.99994,0.99667,0.995,0.8831,0.76045,0.76189,0.75401,0.31927,0.55178,3.01942,0.00045,0.3548,0.93211,0.0009506,0.0009506,0.0009506
108,589.156,0.4688,0.23198,0.00036,0.23807,0.90582,1,0.99986,0.995,0.91428,0.78659,0.78667,0.7658,0.34019,0.46818,2.77111,0.00049,0.33845,0.88729,0.0009407,0.0009407,0.0009407
109,594.506,0.4728,0.24324,0.00037,0.24199,0.90254,0.9995,0.99667,0.995,0.89716,0.72199,0.72,0.65755,0.28709,0.50167,3.08731,0.00052,0.3629,0.90442,0.0009308,0.0009308,0.0009308
110,599.806,0.47188,0.21718,0.00034,0.24224,0.90844,0.99998,1,0.995,0.90286,0.71987,0.72,0.6929,0.29167,0.49054,3.07816,0.00046,0.3144,0.8963,0.0009209,0.0009209,0.0009209
111,605.185,0.45127,0.22349,0.00032,0.23449,0.90307,0.99999,1,0.995,0.91848,0.74549,0.74333,0.74786,0.33326,0.46113,3.03858,0.00037,0.30385,0.88177,0.000911,0.000911,0.000911
112,610.609,0.44264,0.22416,0.00035,0.23311,0.89957,0.99964,1,0.995,0.92089,0.76947,0.77,0.73944,0.34801,0.46427,2.88504,0.00044,0.34739,0.88536,0.0009011,0.0009011,0.0009011
113,616.015,0.44241,0.21597,0.00034,0.23241,0.89239,1,0.99981,0.995,0.90533,0.78997,0.78988,0.75535,0.33059,0.48493,2.8465,0.0005,0.31819,0.89264,0.0008912,0.0008912,0.0008912
114,621.445,0.43602,0.22721,0.00033,0.23391,0.89326,1,0.99978,0.995,0.93617,0.77236,0.77,0.76395,0.3421,0.42782,2.91108,0.00032,0.29382,0.86454,0.0008813,0.0008813,0.0008813
115,626.816,0.43334,0.21282,0.00032,0.23326,0.89034,0.99973,1,0.995,0.91823,0.8531,0.85333,0.85083,0.38389,0.4452,2.68848,0.00042,0.30172,0.86804,0.0008714,0.0008714,0.0008714
116,632.191,0.44029,0.22062,0.00034,0.23082,0.88288,1,1,0.995,0.92291,0.85333,0.85333,0.83888,0.36284,0.43207,2.67548,0.00046,0.29797,0.86223,0.0008615,0.0008615,0.0008615
