epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
49,381.668,0.64624,1.63104,0.00209,0.17698,0.01266,6.25874,1,0.98218,0.99484,0.89937,0.54525,0.55333,0.43913,0.1415,0.52375,4.04852,0.00123,0.15823,0.00885,0,0.0015248,0.0015248,0.0015248
50,389.398,0.62769,1.54176,0.00219,0.17184,0.01211,5.94459,0.98683,0.99909,0.99493,0.84119,0.55275,0.55333,0.45518,0.15141,0.69998,4.01037,0.00158,0.19006,0.01102,0,0.0015149,0.0015149,0.0015149
51,397.409,0.60588,1.65747,0.00225,0.17373,0.01184,6.19919,0.98997,0.99,0.99473,0.87226,0.54027,0.55333,0.42357,0.1419,0.58222,4.13616,0.00177,0.17954,0.00918,0,0.001505,0.001505,0.001505
52,405.235,0.62248,1.55928,0.00224,0.17408,0.01222,6.2721,0.99328,0.98566,0.99353,0.82511,0.54856,0.56667,0.44867,0.15053,0.7407,3.95643,0.00176,0.20621,0.01248,0,0.0014951,0.0014951,0.0014951
53,412.988,0.58563,1.5381,0.0023,0.16814,0.01129,5.95636,0.98993,0.99,0.99412,0.82612,0.53182,0.54904,0.42828,0.14617,0.75579,4.0417,0.00159,0.21041,0.01255,0,0.0014852,0.0014852,0.0014852
54,420.73,0.59599,1.59373,0.00241,0.17188,0.01134,6.05021,0.9943,0.99,0.9948,0.8657,0.52964,0.53667,0.41549,0.14877,0.6142,4.06769,0.0017,0.18404,0.00987,0,0.0014753,0.0014753,0.0014753
55,428.564,0.57439,1.65781,0.00218,0.16762,0.01112,6.00571,0.9946,0.99333,0.995,0.83868,0.56482,0.57974,0.48674,0.16728,0.68812,3.87156,0.00182,0.19929,0.01204,0,0.0014654,0.0014654,0.0014654
56,436.312,0.59241,1.66352,0.0022,0.17253,0.01158,6.09121,1,0.99981,0.995,0.86738,0.55659,0.57333,0.47208,0.17083,0.6187,3.82951,0.00144,0.16352,0.00997,0,0.0014555,0.0014555,0.0014555
57,444.074,0.56673,1.65345,0.00218,0.16513,0.01095,6.10353,0.99368,0.98667,0.9947,0.82727,0.55948,0.57333,0.43439,0.16535,0.72205,3.85933,0.00137,0.20694,0.01238,0,0.0014456,0.0014456,0.0014456
58,451.725,0.56116,1.62704,0.0021,0.16505,0.01087,5.96005,0.99547,0.99667,0.995,0.91901,0.61201,0.61333,0.5355,0.16542,0.4361,3.79465,0.00176,0.14844,0.00688,0,0.0014357,0.0014357,0.0014357
59,459.523,0.57698,1.55872,0.0021,0.1659,0.01109,5.93136,1,0.99248,0.995,0.83764,0.55552,0.57,0.47098,0.15236,0.69893,3.97783,0.00142,0.20646,0.0122,0,0.0014258,0.0014258,0.0014258
60,467.214,0.62284,1.63876,0.00188,0.1768,0.012,5.87706,0.98673,0.99155,0.99463,0.89457,0.47072,0.48321,0.40704,0.13009,0.51406,4.33637,0.00152,0.17713,0.00828,0,0.0014159,0.0014159,0.0014159
61,474.94,0.5641,1.64116,0.00209,0.16189,0.01089,5.86395,0.99008,0.99773,0.9949,0.84412,0.52275,0.52667,0.42278,0.12924,0.69255,4.16156,0.00161,0.19735,0.01124,0,0.001406,0.001406,0.001406
62,482.645,0.55179,1.58541,0.00202,0.16171,0.01065,5.87886,0.99664,0.98882,0.99477,0.83594,0.50922,0.52667,0.39151,0.14305,0.7221,4.018,0.00143,0.204,0.01224,0,0.0013961,0.0013961,0.0013961
63,490.392,0.56025,1.4621,0.00194,0.16276,0.01084,5.69594,0.99338,0.99991,0.9949,0.90257,0.61369,0.62,0.50027,0.15009,0.48645,3.80291,0.00183,0.1517,0.00774,0,0.0013862,0.0013862,0.0013862
64,498.111,0.58338,1.4183,0.00178,0.165,0.01152,5.49874,0.98933,1,0.99493,0.91431,0.51475,0.52667,0.39808,0.14234,0.46244,4.09687,0.00131,0.14136,0.00739,0,0.0013763,0.0013763,0.0013763
65,505.859,0.64235,1.55472,0.00175,0.17781,0.01226,5.73308,0.99666,0.99551,0.99497,0.83259,0.62687,0.63282,0.5408,0.15762,0.74239,3.86269,0.00156,0.19576,0.01165,0,0.0013664,0.0013664,0.0013664
66,513.503,0.56383,1.45374,0.00174,0.16138,0.01085,5.6029,0.99003,0.99279,0.9948,0.8911,0.57492,0.58333,0.52591,0.186,0.54308,3.84138,0.00135,0.15909,0.00888,0,0.0013565,0.0013565,0.0013565
67,521.251,0.52579,1.47936,0.00163,0.14699,0.00998,5.3471,0.99357,0.99,0.99493,0.91678,0.55022,0.54642,0.44859,0.16336,0.44679,3.87278,0.00105,0.13747,0.00722,0,0.0013466,0.0013466,0.0013466
68,529.157,0.51799,1.38665,0.00159,0.14643,0.00996,5.51372,0.99885,0.99667,0.995,0.88446,0.60884,0.62261,0.53619,0.16187,0.54911,3.79963,0.0017,0.15781,0.00883,0,0.0013367,0.0013367,0.0013367
69,536.839,0.53307,1.39334,0.00175,0.15569,0.01007,5.43803,0.99457,0.99,0.9949,0.88619,0.53521,0.54667,0.42985,0.14138,0.55709,4.05004,0.00151,0.16321,0.00904,0,0.0013268,0.0013268,0.0013268
70,544.504,0.52437,1.3106,0.00157,0.15062,0.01008,5.3765,0.98237,0.99,0.99464,0.88169,0.59868,0.60333,0.51948,0.17268,0.55474,3.84966,0.0018,0.17266,0.00985,0,0.0013169,0.0013169,0.0013169
71,552.327,0.58017,1.37082,0.00162,0.16144,0.01101,5.53917,1,0.99478,0.995,0.83266,0.57079,0.58667,0.53221,0.18234,0.732,3.90679,0.00139,0.1958,0.01198,0,0.001307,0.001307,0.001307
72,560.058,0.55206,1.35315,0.00136,0.15361,0.01088,5.36638,0.98534,1,0.99477,0.84743,0.58674,0.59667,0.48576,0.18747,0.68409,3.82634,0.00133,0.19614,0.01105,0,0.0012971,0.0012971,0.0012971
73,567.849,0.52362,1.32019,0.00132,0.15109,0.01008,5.27755,0.99518,0.99333,0.99487,0.88476,0.60404,0.61,0.52786,0.1835,0.57073,3.71228,0.00143,0.16697,0.0089,0,0.0012872,0.0012872,0.0012872
74,575.598,0.54091,1.40422,0.00146,0.15148,0.0104,5.45242,0.99935,0.99667,0.995,0.86655,0.62669,0.63333,0.56896,0.20101,0.63473,3.63665,0.00138,0.16782,0.01014,0,0.0012773,0.0012773,0.0012773
75,583.362,0.53061,1.37139,0.0013,0.15097,0.01015,5.25684,0.98205,0.99667,0.99473,0.9064,0.55403,0.57,0.46206,0.17552,0.4825,3.87623,0.00133,0.15444,0.00787,0,0.0012674,0.0012674,0.0012674
76,591.069,0.51933,1.25326,0.00125,0.14817,0.0099,5.09072,0.98899,0.99667,0.9944,0.83156,0.63332,0.64,0.568,0.20485,0.73048,3.63425,0.00165,0.20193,0.01167,0,0.0012575,0.0012575,0.0012575
77,598.879,0.52644,1.23712,0.00127,0.14769,0.01034,4.88514,0.99668,0.9993,0.9949,0.88899,0.5893,0.60333,0.50418,0.198,0.52676,3.68561,0.00111,0.15723,0.0086,0,0.0012476,0.0012476,0.0012476
78,606.53,0.54353,1.12811,0.00128,0.15088,0.0106,4.90376,0.99307,1,0.99487,0.86705,0.76459,0.77,0.77307,0.25711,0.64274,3.24358,0.00256,0.17657,0.01033,0,0.0012377,0.0012377,0.0012377
79,614.183,0.54163,1.10475,0.0015,0.15041,0.01054,4.89113,0.99734,0.99333,0.995,0.80893,0.69004,0.7,0.65118,0.19807,0.80633,3.55949,0.00264,0.21047,0.01384,0,0.0012278,0.0012278,0.0012278
80,621.997,0.56161,1.04561,0.00141,0.15831,0.01095,4.78032,0.98353,0.99542,0.99474,0.85202,0.58335,0.61139,0.54193,0.19742,0.66305,3.70963,0.00308,0.195,0.01067,0,0.0012179,0.0012179,0.0012179
81,629.802,0.59931,1.04622,0.00123,0.167,0.01167,4.73222,0.9956,0.99667,0.99497,0.82625,0.62378,0.62,0.54505,0.1646,0.75462,3.83188,0.00205,0.20029,0.01162,0,0.001208,0.001208,0.001208
