epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1004.81,0.97785,0.69516,0.0076,0.96821,0.91363,0.96026,0.80922,0.69053,0.35845,0.00695,0.0008912,0.0008912,0.0008912
58,1022.32,0.96134,0.64795,0.00736,0.9783,0.90152,0.95423,0.79366,0.7364,0.3653,0.00723,0.0008714,0.0008714,0.0008714
59,1039.83,0.94517,0.64275,0.0073,0.96261,0.909,0.95994,0.83295,0.60989,0.3562,0.00639,0.0008516,0.0008516,0.0008516
60,1057.4,0.95631,0.65741,0.00722,0.97578,0.909,0.9584,0.80813,0.69139,0.3754,0.00679,0.0008318,0.0008318,0.0008318
61,1074.95,0.94127,0.66431,0.00712,0.96605,0.906,0.95842,0.81427,0.66892,0.36595,0.00653,0.000812,0.000812,0.000812
62,1092.48,0.95523,0.67321,0.00762,0.97738,0.909,0.95917,0.82037,0.6577,0.35516,0.00632,0.0007922,0.0007922,0.0007922
63,1109.95,0.9341,0.66354,0.00713,0.98065,0.91215,0.9579,0.83205,0.63151,0.3389,0.00617,0.0007724,0.0007724,0.0007724
64,1127.44,0.92126,0.62586,0.00717,0.98058,0.90872,0.95431,0.82425,0.625,0.34672,0.00611,0.0007526,0.0007526,0.0007526
65,1144.92,0.9211,0.62048,0.0072,0.98251,0.905,0.95637,0.82895,0.63004,0.34971,0.00634,0.0007328,0.0007328,0.0007328
66,1162.43,0.9186,0.64647,0.00729,0.97855,0.9124,0.9552,0.82392,0.64814,0.35913,0.00618,0.000713,0.000713,0.000713
67,1179.91,0.89712,0.61316,0.00682,0.97748,0.91147,0.95564,0.83475,0.61156,0.34567,0.00601,0.0006932,0.0006932,0.0006932
68,1197.51,0.91802,0.62517,0.00708,0.97989,0.907,0.95856,0.82419,0.64533,0.34884,0.0062,0.0006734,0.0006734,0.0006734
69,1215.75,0.89282,0.62495,0.00691,0.98884,0.906,0.96218,0.82772,0.6334,0.34808,0.00597,0.0006536,0.0006536,0.0006536
70,1233.26,0.89236,0.61863,0.00663,0.98154,0.903,0.95918,0.83633,0.60225,0.3444,0.00597,0.0006338,0.0006338,0.0006338
71,1250.83,0.89049,0.63179,0.00683,0.99123,0.90392,0.9629,0.82809,0.63494,0.3372,0.00631,0.000614,0.000614,0.000614
72,1268.33,0.87862,0.61556,0.00671,0.98702,0.9128,0.95841,0.83691,0.60754,0.33193,0.00578,0.0005942,0.0005942,0.0005942
73,1285.87,0.87481,0.6194,0.00689,0.97394,0.921,0.95782,0.83704,0.60624,0.34238,0.0056,0.0005744,0.0005744,0.0005744
74,1303.42,0.87979,0.62221,0.00686,0.98365,0.90248,0.95418,0.84872,0.56954,0.33891,0.00568,0.0005546,0.0005546,0.0005546
75,1320.97,0.88599,0.62701,0.0071,0.98937,0.906,0.96033,0.83748,0.59792,0.3385,0.00586,0.0005348,0.0005348,0.0005348
76,1338.45,0.87772,0.61158,0.00683,0.98269,0.90838,0.95151,0.83111,0.60324,0.34697,0.00561,0.000515,0.000515,0.000515
77,1355.93,0.86773,0.59086,0.00678,0.98179,0.9168,0.95647,0.85261,0.55316,0.33071,0.00533,0.0004952,0.0004952,0.0004952
78,1373.51,0.86203,0.60386,0.00667,0.97754,0.91408,0.95948,0.83003,0.61814,0.32747,0.00595,0.0004754,0.0004754,0.0004754
79,1390.98,0.85797,0.60993,0.00656,0.97869,0.91846,0.96238,0.84596,0.57769,0.32177,0.0055,0.0004556,0.0004556,0.0004556
80,1408.51,0.85467,0.61268,0.00654,0.99105,0.912,0.96068,0.85005,0.56134,0.31903,0.00539,0.0004358,0.0004358,0.0004358
81,1426.01,0.86025,0.60441,0.00658,0.98383,0.907,0.96011,0.84679,0.57609,0.32028,0.00566,0.000416,0.000416,0.000416
82,1443.57,0.86525,0.59989,0.00658,0.98435,0.916,0.96029,0.85162,0.56356,0.32736,0.0055,0.0003962,0.0003962,0.0003962
83,1461.04,0.84894,0.58418,0.0064,0.98489,0.91225,0.96257,0.85204,0.56872,0.32588,0.00546,0.0003764,0.0003764,0.0003764
84,1478.53,0.84678,0.59898,0.00642,0.9902,0.90926,0.96178,0.84806,0.58093,0.32357,0.00543,0.0003566,0.0003566,0.0003566
85,1496.07,0.83467,0.57989,0.00638,0.98176,0.91504,0.9625,0.85832,0.55503,0.31774,0.00525,0.0003368,0.0003368,0.0003368
86,1513.64,0.83713,0.58198,0.00636,0.98385,0.91377,0.96155,0.86171,0.53464,0.32385,0.00502,0.000317,0.000317,0.000317
87,1531.17,0.83283,0.57595,0.0064,0.98071,0.91503,0.96406,0.86478,0.52464,0.31343,0.00519,0.0002972,0.0002972,0.0002972
88,1548.77,0.82966,0.57111,0.00636,0.98119,0.915,0.9611,0.86128,0.53053,0.31292,0.00514,0.0002774,0.0002774,0.0002774
89,1566.28,0.83782,0.57239,0.00637,0.98294,0.916,0.96238,0.85999,0.53928,0.31437,0.00527,0.0002576,0.0002576,0.0002576
90,1583.78,0.81453,0.5727,0.00606,0.99086,0.913,0.96301,0.85254,0.55843,0.30892,0.00536,0.0002378,0.0002378,0.0002378
91,1601.88,0.6088,0.36556,0.00537,0.98697,0.90911,0.95531,0.84431,0.56791,0.32821,0.00542,0.000218,0.000218,0.000218
92,1619.34,0.59214,0.35382,0.00524,0.98511,0.915,0.95872,0.85385,0.55322,0.32784,0.00538,0.0001982,0.0001982,0.0001982
93,1636.7,0.5836,0.33572,0.00514,0.98783,0.915,0.96013,0.86028,0.54391,0.31046,0.00528,0.0001784,0.0001784,0.0001784
94,1654.06,0.56947,0.34111,0.00503,0.98323,0.921,0.9578,0.85791,0.5426,0.31376,0.00523,0.0001586,0.0001586,0.0001586
95,1671.5,0.5677,0.32959,0.00485,0.9913,0.91204,0.9567,0.85671,0.54228,0.31093,0.00524,0.0001388,0.0001388,0.0001388
96,1688.87,0.56389,0.33447,0.00488,0.98502,0.92043,0.95616,0.85846,0.53732,0.30944,0.00523,0.000119,0.000119,0.000119
97,1706.28,0.56086,0.33361,0.00488,0.99236,0.9092,0.9593,0.86427,0.52865,0.30916,0.00521,9.92e-05,9.92e-05,9.92e-05
98,1723.67,0.55963,0.32796,0.00482,0.98683,0.921,0.95767,0.86407,0.52495,0.30348,0.0052,7.94e-05,7.94e-05,7.94e-05
99,1741.03,0.55544,0.33177,0.00474,0.99008,0.919,0.9591,0.86209,0.53501,0.30508,0.00528,5.96e-05,5.96e-05,5.96e-05
100,1758.39,0.5524,0.33032,0.00464,0.9946,0.913,0.95887,0.86442,0.53005,0.30495,0.00523,3.98e-05,3.98e-05,3.98e-05
