epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,889.065,0.97789,0.6697,1.09571,0.91139,0.752,0.84685,0.68463,0.86682,0.79795,1.03646,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,907.352,0.98108,0.65698,1.08103,0.97967,0.91555,0.95434,0.80194,0.66113,0.4081,0.92829,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,925.803,0.97485,0.64255,1.07748,0.92275,0.809,0.88718,0.72374,0.79923,0.74788,0.99038,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,944.033,0.97504,0.65161,1.08474,0.96642,0.86333,0.9181,0.76092,0.71229,0.52265,0.95802,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,962.414,0.9741,0.6419,1.0746,0.9814,0.916,0.9513,0.7936,0.69878,0.42476,0.93476,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,980.717,0.96935,0.64432,1.0777,0.98266,0.918,0.95946,0.79868,0.691,0.40301,0.92669,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,999.057,0.96415,0.64902,1.07636,0.9843,0.917,0.95319,0.80063,0.66707,0.39567,0.92949,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,1017.35,0.96309,0.64416,1.07035,0.96569,0.90071,0.95035,0.78519,0.69951,0.43569,0.94149,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,1035.78,0.96621,0.64044,1.0744,0.97328,0.912,0.95089,0.78395,0.72567,0.41647,0.94053,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,1053.99,0.97363,0.65752,1.08361,0.98585,0.916,0.95809,0.77628,0.76484,0.41183,0.95306,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,1072.35,0.96348,0.62974,1.07719,0.96868,0.91,0.94977,0.78426,0.72436,0.42008,0.94412,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,1090.75,0.95081,0.6302,1.06703,0.96198,0.918,0.94898,0.79538,0.66643,0.42513,0.92889,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,1109.03,0.96103,0.63434,1.07202,0.99354,0.92269,0.95658,0.80641,0.67285,0.40101,0.93297,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,1127.35,0.95403,0.63648,1.06913,0.9827,0.922,0.94981,0.79409,0.68823,0.40795,0.93891,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1145.75,0.95335,0.64118,1.07585,0.98242,0.918,0.94992,0.79274,0.69481,0.40187,0.93522,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1164.01,0.94585,0.63104,1.06624,0.98152,0.921,0.95788,0.81126,0.62587,0.38199,0.91616,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,1182.38,0.92736,0.61272,1.05664,0.98627,0.922,0.95713,0.78446,0.70007,0.4021,0.93969,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,1200.7,0.9375,0.6172,1.06534,0.98148,0.922,0.95713,0.79642,0.70281,0.39155,0.94755,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,1219.08,0.93209,0.6223,1.0692,0.98233,0.915,0.9551,0.79497,0.69715,0.38386,0.92825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,1237.36,0.91966,0.60068,1.05364,0.98366,0.916,0.9584,0.79668,0.69786,0.39057,0.92866,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,1255.78,0.93415,0.61078,1.0649,0.98351,0.924,0.95852,0.8128,0.62508,0.38195,0.92007,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,1274.12,0.91202,0.60882,1.05209,0.97852,0.922,0.95971,0.80613,0.65297,0.37984,0.91757,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,1292.42,0.91832,0.60529,1.05038,0.99404,0.92,0.96117,0.81103,0.64983,0.3597,0.92454,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,1310.82,0.91055,0.61103,1.05142,0.98901,0.921,0.96023,0.81415,0.63173,0.35732,0.91783,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,1329.2,0.90067,0.60309,1.04682,0.98627,0.911,0.95505,0.82567,0.58559,0.37643,0.91183,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,1347.5,0.90438,0.60134,1.05183,0.98603,0.91788,0.95108,0.80505,0.64566,0.3797,0.91234,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,1365.93,0.90243,0.60385,1.05053,0.97961,0.918,0.95562,0.80411,0.65915,0.37791,0.91882,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,1384.17,0.89714,0.60913,1.05509,0.99273,0.922,0.9604,0.80998,0.65696,0.36694,0.91339,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,1402.47,0.89338,0.59108,1.04763,0.98822,0.92244,0.95081,0.81208,0.61053,0.3756,0.90926,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,1420.74,0.88286,0.59208,1.04118,0.97252,0.92018,0.9539,0.81447,0.61125,0.37429,0.91209,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,1439.16,0.88572,0.59265,1.04453,0.98569,0.919,0.94926,0.80245,0.66188,0.38192,0.92314,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
