epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,234.211,0.46148,2.70714,0.2378,0.32987,0.9311,0.99662,1,0.99443,0.93516,0.92658,0.92977,0.89565,0.29956,0.36626,2.74926,0.02281,0.23764,0.83364,0.0011882,0.0011882,0.0011882
43,239.666,0.45559,2.70433,0.24104,0.32319,0.9329,0.99638,1,0.995,0.9393,0.92303,0.92642,0.89387,0.28142,0.35002,2.75912,0.01688,0.22379,0.83192,0.0011684,0.0011684,0.0011684
44,245.099,0.4679,2.65972,0.23668,0.32927,0.93687,0.99603,1,0.99317,0.94798,0.92606,0.92977,0.88632,0.2896,0.32821,2.78427,0.01561,0.21688,0.81943,0.0011486,0.0011486,0.0011486
45,250.529,0.46458,2.74544,0.23171,0.31969,0.93693,0.99639,1,0.99473,0.94783,0.92308,0.92642,0.88394,0.28864,0.32125,2.75839,0.01559,0.21505,0.81978,0.0011288,0.0011288,0.0011288
46,255.989,0.44381,2.65551,0.23512,0.32074,0.92035,0.99667,0.99988,0.99487,0.94662,0.92999,0.93304,0.8919,0.29169,0.33543,2.67861,0.01723,0.21872,0.81939,0.001109,0.001109,0.001109
47,261.409,0.44144,2.66402,0.22433,0.3052,0.92478,0.99639,1,0.99323,0.9401,0.92641,0.92977,0.88497,0.29332,0.31688,2.69229,0.01699,0.21526,0.81239,0.0010892,0.0010892,0.0010892
48,266.818,0.44605,2.59075,0.23161,0.31729,0.92839,0.99665,1,0.99493,0.9539,0.93662,0.9398,0.90775,0.31414,0.31464,2.67041,0.01443,0.21125,0.81307,0.0010694,0.0010694,0.0010694
49,272.276,0.43064,2.62457,0.23216,0.31218,0.91911,0.99641,1,0.995,0.95011,0.92976,0.93311,0.89865,0.31159,0.30754,2.66384,0.01448,0.20076,0.81298,0.0010496,0.0010496,0.0010496
50,277.672,0.43115,2.62268,0.23296,0.30365,0.91433,0.9963,1,0.99453,0.95887,0.94331,0.94649,0.91965,0.31763,0.29269,2.60808,0.01446,0.20142,0.80141,0.0010298,0.0010298,0.0010298
51,283.149,0.4387,2.57643,0.23888,0.31378,0.917,0.99667,0.99971,0.995,0.95424,0.90786,0.90635,0.85621,0.2868,0.31294,2.76488,0.01676,0.20665,0.80472,0.00101,0.00101,0.00101
52,288.621,0.43822,2.49348,0.22941,0.30501,0.91119,0.99835,1,0.995,0.95373,0.93519,0.93645,0.89591,0.31692,0.31956,2.51914,0.00973,0.2005,0.80804,0.0009902,0.0009902,0.0009902
53,294.029,0.43818,2.4764,0.22287,0.30263,0.91324,0.99686,1,0.995,0.95769,0.92375,0.92642,0.87708,0.32417,0.30765,2.56727,0.01135,0.20587,0.8011,0.0009704,0.0009704,0.0009704
54,299.491,0.44306,2.47921,0.23657,0.31193,0.9217,0.9959,1,0.995,0.95991,0.93593,0.9398,0.90818,0.33114,0.30653,2.51297,0.01482,0.20201,0.7982,0.0009506,0.0009506,0.0009506
55,304.941,0.41981,2.4819,0.23072,0.301,0.91591,0.99555,1,0.99493,0.96478,0.92563,0.92977,0.91067,0.34991,0.28878,2.52377,0.01125,0.19517,0.79849,0.0009308,0.0009308,0.0009308
56,310.336,0.41533,2.4405,0.22421,0.29123,0.91335,0.99638,1,0.995,0.96646,0.90307,0.90635,0.85917,0.34906,0.28302,2.4911,0.01538,0.19693,0.79652,0.000911,0.000911,0.000911
57,315.782,0.43047,2.35566,0.2245,0.30245,0.91947,0.9988,1,0.995,0.96623,0.95191,0.95318,0.9359,0.36266,0.28472,2.35837,0.01188,0.18894,0.79592,0.0008912,0.0008912,0.0008912
58,321.253,0.43297,2.36154,0.23123,0.31027,0.92877,0.99331,1,0.995,0.95832,0.9036,0.9097,0.86062,0.34698,0.30287,2.41934,0.01137,0.19924,0.79919,0.0008714,0.0008714,0.0008714
59,326.644,0.41949,2.38719,0.23175,0.29812,0.91711,0.99617,1,0.9949,0.96022,0.93619,0.9398,0.909,0.39686,0.2877,2.24815,0.01285,0.19321,0.79854,0.0008516,0.0008516,0.0008516
60,332.102,0.42076,2.30361,0.22626,0.29741,0.91077,0.99889,1,0.995,0.95942,0.90534,0.90635,0.86957,0.38643,0.29634,2.30695,0.01157,0.19206,0.80948,0.0008318,0.0008318,0.0008318
61,337.627,0.40441,2.29254,0.21912,0.28188,0.90343,0.99632,1,0.995,0.96878,0.90635,0.9097,0.87989,0.3898,0.27384,2.31391,0.00759,0.18431,0.79247,0.000812,0.000812,0.000812
62,343.005,0.41375,2.25937,0.21757,0.28526,0.91012,0.99598,1,0.995,0.96469,0.92602,0.92977,0.88698,0.38118,0.2684,2.27931,0.01613,0.18276,0.79166,0.0007922,0.0007922,0.0007922
63,348.4,0.39648,2.20691,0.22779,0.27477,0.90731,0.99633,1,0.995,0.97032,0.92633,0.92977,0.89538,0.39781,0.27845,2.18474,0.01364,0.18323,0.80018,0.0007724,0.0007724,0.0007724
64,353.841,0.40279,2.18164,0.21533,0.28157,0.90332,0.99643,1,0.995,0.96692,0.93644,0.9398,0.9023,0.3925,0.2672,2.20286,0.01333,0.17795,0.79096,0.0007526,0.0007526,0.0007526
65,359.292,0.3949,2.19055,0.21644,0.28271,0.90452,0.99692,1,0.995,0.96656,0.92016,0.92308,0.87976,0.39551,0.27291,2.20076,0.01374,0.18989,0.79106,0.0007328,0.0007328,0.0007328
66,364.702,0.39543,2.1591,0.22431,0.28195,0.9019,0.99627,1,0.995,0.97015,0.93629,0.9398,0.91102,0.39403,0.2735,2.23787,0.01257,0.17822,0.79206,0.000713,0.000713,0.000713
