epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1881.64,0.4924,0.22739,0.92409,0.99986,0.998,0.995,0.92979,0.40757,0.22109,0.84848,0.0006734,0.0006734,0.0006734
69,1909.18,0.49215,0.22656,0.91944,0.9988,0.998,0.995,0.94788,0.36511,0.22409,0.84143,0.0006536,0.0006536,0.0006536
70,1936.73,0.48485,0.22619,0.92158,0.99884,0.998,0.995,0.94222,0.37331,0.21577,0.83782,0.0006338,0.0006338,0.0006338
71,1964.2,0.47891,0.22354,0.91766,0.99984,0.998,0.995,0.95066,0.34486,0.20628,0.83374,0.000614,0.000614,0.000614
72,1992.16,0.48174,0.22447,0.91673,1,0.99691,0.995,0.93697,0.39171,0.22024,0.84283,0.0005942,0.0005942,0.0005942
73,2019.68,0.48124,0.22185,0.91667,1,0.99767,0.995,0.93573,0.41087,0.23025,0.85363,0.0005744,0.0005744,0.0005744
74,2047.2,0.46448,0.21664,0.90773,0.99959,0.997,0.995,0.95133,0.35319,0.22093,0.83592,0.0005546,0.0005546,0.0005546
75,2075.08,0.46709,0.21793,0.90975,0.99701,0.99991,0.995,0.95063,0.35628,0.21198,0.83143,0.0005348,0.0005348,0.0005348
76,2102.58,0.46111,0.21669,0.90172,0.99993,1,0.995,0.95005,0.35496,0.20475,0.83021,0.000515,0.000515,0.000515
77,2130.11,0.45333,0.21235,0.89874,0.99894,1,0.995,0.94735,0.35896,0.2029,0.83165,0.0004952,0.0004952,0.0004952
78,2157.64,0.4603,0.2141,0.90404,0.999,0.99996,0.995,0.94453,0.36817,0.20472,0.83133,0.0004754,0.0004754,0.0004754
79,2185.14,0.45244,0.21173,0.90024,0.99891,1,0.995,0.94827,0.35691,0.1975,0.82823,0.0004556,0.0004556,0.0004556
80,2212.67,0.43645,0.20862,0.89054,0.99899,1,0.995,0.94207,0.37031,0.20077,0.83206,0.0004358,0.0004358,0.0004358
81,2240.18,0.44586,0.20709,0.89701,0.99997,1,0.995,0.96073,0.32722,0.19363,0.82203,0.000416,0.000416,0.000416
